date,Ted McGinley,Cloris Leachman,Susan Lucci,Cody Linley,Dancing with the Stars,Misty May-Treanor,Maurice Greene,Warren Sapp,Jeffrey Ross,Toni Braxton,Lance Bass,Kim Kardashian,Rocco DiSpirito,Brooke Burke
2008-09-22,0,1,1,1,27,1.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,2.0
2008-09-23,2,11,14,3,86,1.0,0.0,4.0,1.0,9.0,2.0,28.0,1.0,15.0
2008-09-24,3,11,6,5,100,1.0,1.0,3.0,3.0,5.0,2.0,31.0,3.0,13.0
2008-09-25,5,5,3,2,65,0.0,0.0,2.0,1.0,3.0,1.0,22.0,1.0,7.0
2008-09-26,1,2,1,1,17,0.0,0.0,1.0,0.0,1.0,1.0,16.0,0.0,2.0
2008-09-27,0,1,1,1,10,0.0,0.0,0.0,0.0,1.0,0.0,20.0,1.0,3.0
2008-09-28,0,1,1,1,9,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,2.0
2008-09-29,0,1,1,0,11,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,2.0
2008-09-30,0,3,5,3,40,0.0,0.0,3.0,0.0,3.0,2.0,23.0,1.0,5.0
2008-10-01,0,3,2,2,51,0.0,0.0,2.0,0.0,2.0,1.0,35.0,1.0,4.0
2008-10-02,0,1,1,1,15,0.0,0.0,1.0,0.0,1.0,1.0,20.0,0.0,2.0
2008-10-03,0,0,1,1,7,0.0,0.0,1.0,0.0,1.0,0.0,14.0,0.0,2.0
2008-10-04,0,0,1,1,6,0.0,0.0,1.0,0.0,1.0,0.0,20.0,0.0,1.0
2008-10-05,0,1,1,1,7,1.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,1.0
2008-10-06,0,0,1,0,11,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0
2008-10-07,0,3,3,1,33,3.0,0.0,3.0,0.0,2.0,1.0,27.0,1.0,7.0
2008-10-08,0,2,2,1,38,1.0,0.0,1.0,0.0,1.0,0.0,17.0,1.0,4.0
2008-10-09,0,0,0,0,13,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,2.0
2008-10-10,0,1,1,0,7,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,1.0
2008-10-11,0,1,1,0,6,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0
2008-10-12,0,1,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0
2008-10-13,0,0,1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0
2008-10-14,0,3,3,1,24,0.0,0.0,2.0,0.0,2.0,1.0,11.0,1.0,6.0
2008-10-15,0,2,1,1,32,0.0,0.0,1.0,0.0,1.0,1.0,10.0,2.0,5.0
2008-10-16,0,0,0,0,10,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,2.0
2008-10-17,0,0,0,0,6,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0
2008-10-18,0,0,0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,2.0
2008-10-19,0,0,0,1,4,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,1.0
2008-10-20,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0
2008-10-21,0,2,3,1,26,0.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,9.0
2008-10-22,0,3,2,1,43,0.0,0.0,1.0,0.0,4.0,1.0,10.0,0.0,6.0
2008-10-23,0,1,0,1,13,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,2.0
2008-10-24,0,1,0,0,7,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,2.0
2008-10-25,0,1,0,0,6,0.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,1.0
2008-10-26,0,0,0,0,4,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0
2008-10-27,0,1,0,0,6,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0
2008-10-28,0,4,3,1,25,0.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,4.0
2008-10-29,0,6,3,1,40,0.0,0.0,1.0,0.0,1.0,1.0,11.0,0.0,3.0
2008-10-30,0,2,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0
2008-10-31,0,1,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0
2008-11-01,0,0,1,1,4,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0
2008-11-02,0,1,0,0,4,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,1.0
2008-11-03,0,1,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0
2008-11-04,0,1,2,1,20,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,5.0
2008-11-05,0,0,1,0,12,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
2008-11-06,0,0,6,2,33,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,3.0
2008-11-07,0,0,1,0,10,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0
2008-11-08,0,0,0,1,7,0.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,2.0
2008-11-09,0,0,1,1,6,0.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,1.0
2008-11-10,0,0,1,0,6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
2008-11-11,0,0,1,2,24,0.0,0.0,2.0,0.0,0.0,1.0,10.0,0.0,5.0
2008-11-12,0,0,1,3,42,0.0,1.0,3.0,0.0,1.0,1.0,9.0,0.0,4.0
2008-11-13,0,0,0,1,14,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0
2008-11-14,0,0,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0
2008-11-15,0,0,0,1,6,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0
2008-11-16,0,1,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0
2008-11-17,0,1,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0
2008-11-18,0,1,0,2,28,0.0,0.0,2.0,0.0,0.0,2.0,11.0,0.0,6.0
2008-11-19,0,1,0,7,43,0.0,0.0,2.0,0.0,0.0,3.0,10.0,0.0,9.0
2008-11-20,0,0,0,2,14,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,2.0
2008-11-21,0,0,0,1,8,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,2.0
2008-11-22,0,0,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0
2008-11-23,0,0,0,1,5,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0
2008-11-24,0,0,0,1,7,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0
2008-11-25,0,0,0,0,44,0.0,0.0,4.0,0.0,1.0,3.0,13.0,0.0,12.0
